timestamp,severity,rule,pid,process_name,path,action,message
2025-12-17T14:21:30.390237,INFO,ML_ANOMALY,3608,svchost.exe,,Whitelisted,ML behavioral anomaly (z=3.73)
2025-12-17T14:21:30.502789,INFO,ML_ANOMALY,4288,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:21:31.075742,INFO,ML_ANOMALY,15468,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:21:32.734776,WARNING,ML_ANOMALY,4,System,,Score +10 (total 20),ML behavioral anomaly (z=4.79)
2025-12-17T14:21:33.152899,INFO,ML_ANOMALY,2888,svchost.exe,,Whitelisted,ML behavioral anomaly (z=3.72)
2025-12-17T14:21:34.099164,WARNING,ML_ANOMALY,13788,audiodg.exe,,Score +10 (total 10),ML behavioral anomaly (z=3.64)
2025-12-17T14:21:35.519598,INFO,ML_ANOMALY,2384,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:21:35.613042,INFO,ML_ANOMALY,2744,svchost.exe,,Whitelisted,ML behavioral anomaly (z=4.75)
2025-12-17T14:21:35.638514,INFO,ML_ANOMALY,2984,msedge.exe,,Whitelisted,ML behavioral anomaly (z=4.37)
2025-12-17T14:21:36.319060,INFO,ML_ANOMALY,8544,Code.exe,,Whitelisted,ML behavioral anomaly (z=4.66)
2025-12-17T14:21:36.342519,INFO,ML_ANOMALY,9388,msedge.exe,,Whitelisted,ML behavioral anomaly (z=4.37)
2025-12-17T14:21:36.418557,INFO,ML_ANOMALY,10596,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:36.429604,INFO,ML_ANOMALY,10992,msedge.exe,,Whitelisted,ML behavioral anomaly (z=4.37)
2025-12-17T14:21:36.593017,INFO,ML_ANOMALY,13560,msedge.exe,,Whitelisted,ML behavioral anomaly (z=4.37)
2025-12-17T14:21:36.628806,INFO,ML_ANOMALY,14888,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.31)
2025-12-17T14:21:38.217851,INFO,ML_ANOMALY,2984,msedge.exe,,Whitelisted,ML behavioral anomaly (z=4.57)
2025-12-17T14:21:39.240735,INFO,ML_ANOMALY,12328,Code.exe,,Whitelisted,ML behavioral anomaly (z=5.15)
